,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clusters
184,49885,0,3,1,1,23640,17,0,0,7533,2
185,89999,0,3,1,1,11694,13,0,0,7530,2
186,165144,0,4,1,1,57173,40,3450,12,7523,2
187,165144,0,1,1,1,3250,8,0,0,7521,2
188,165144,0,5,1,1,73679,31,0,0,7514,2
189,72173,0,1,1,1,2954,13,232,1,7509,2
190,123516,0,5,1,1,240544,31,500,2,7507,3
191,143080,733,4,1,1,44373,38,3928,17,7575,2
192,165144,0,5,1,1,107813,24,0,0,7500,1
193,52738,2398,1,1,1,0,0,0,0,7498,2
194,24523,0,1,1,1,100,1,0,0,7493,2
195,134601,0,1,1,1,0,0,0,0,7493,2
196,32742,0,5,1,1,61857,26,0,0,7488,3
197,108341,0,3,1,1,19670,21,0,0,7488,2
198,8669,0,1,3,1,11397,16,0,0,7486,1
199,118940,0,4,1,1,36001,17,150,1,7484,2
200,41385,0,4,1,1,26948,14,0,0,7481,2
201,28621,0,2,1,1,13878,20,1400,10,7479,2
202,16230,0,1,1,1,486,2,0,0,7477,2
203,152881,0,5,1,1,79687,18,500,1,7474,2
204,37348,0,1,1,1,0,0,0,0,7472,2
205,51468,0,1,1,1,2278,9,0,0,7460,2
206,95989,0,5,1,1,92159,30,1329,4,7518,1
207,23184,1250,1,1,1,3694,12,1150,3,7467,2
208,27381,0,3,1,1,18009,18,0,0,7524,2
209,6854,0,1,1,1,0,0,0,0,7467,0
210,165144,0,5,1,1,99612,34,600,4,7463,1
211,31588,0,1,1,1,2947,8,0,0,7463,2
212,165144,0,1,1,1,4671,14,0,0,7498,2
213,8298,0,3,1,1,20087,15,0,0,7498,3
214,10097,0,1,1,1,2700,1,2700,1,7498,2
215,114356,0,4,1,1,27308,14,0,0,7456,2
216,1344,0,1,1,1,1134,9,0,0,7498,0
217,59797,0,1,1,1,7069,4,0,0,7444,2
218,165144,0,3,1,1,24156,22,0,0,7439,2
219,143481,0,4,1,1,45891,15,0,0,7437,2
220,165144,2706,5,1,1,90653,32,3050,7,7467,2
221,165144,0,5,1,1,68754,35,550,2,7467,2
222,75039,0,1,1,1,2750,10,250,1,7435,2
223,20203,0,1,1,1,750,6,0,0,7467,2
224,165144,0,3,1,1,10849,14,0,0,7416,2
225,98224,0,2,1,1,5570,11,0,0,7467,2
226,117329,0,1,2,1,6448,11,0,0,7416,2
227,119239,0,4,1,1,36362,15,250,1,7467,2
228,53715,0,2,1,1,7164,15,300,2,7416,2
229,153747,0,5,1,1,58689,15,0,0,7409,2
230,133309,0,3,1,1,23987,13,0,0,7415,2
231,81380,0,5,1,1,56524,22,0,0,7404,1
232,22074,0,1,1,1,6039,15,0,0,7404,2
233,24051,0,2,1,1,8764,13,0,0,7395,2
234,11449,0,2,1,1,9057,13,0,0,7397,1
235,165144,0,2,1,1,19489,17,273,1,7397,2
236,46184,0,1,1,1,3125,12,500,1,7388,2
237,165144,0,1,1,1,8471,18,500,1,7406,2
238,30962,0,5,1,1,97683,37,6400,18,7360,3
239,15525,0,1,1,1,3853,6,0,0,7406,2
240,163530,0,5,1,1,88987,25,0,0,7406,2
241,2075,0,2,1,1,5002,14,0,0,7374,0
242,165144,0,4,1,1,41186,13,0,0,7369,2
243,118934,0,5,1,1,66222,37,2250,17,7354,2
244,165144,0,5,1,1,141615,22,0,0,7348,1
245,12526,0,4,1,1,56076,19,3850,11,7375,3
246,165144,0,1,1,1,5300,9,2200,6,7344,2
247,15221,0,1,1,1,4425,9,0,0,7361,2
248,92875,0,5,1,1,60990,14,0,0,7344,1
249,88702,0,2,1,1,9620,13,50,1,7406,2
250,62882,0,1,1,1,1925,8,0,0,7375,2
251,30015,0,1,1,1,5875,32,0,0,7341,2
252,87293,0,3,1,1,21584,17,1050,2,7406,2
253,45225,0,3,1,1,14711,15,0,0,7339,2
254,96098,0,1,1,1,12500,4,0,0,7339,2
255,165144,0,5,1,1,61515,12,0,0,7375,2
256,165144,0,1,1,1,8534,14,2100,9,7375,2
257,25279,0,2,1,1,14938,26,0,0,7327,2
258,165144,0,1,1,1,6303,6,500,1,7323,2
259,165144,0,5,1,1,77122,18,250,3,7375,2
260,149733,0,1,1,1,605,3,500,1,7323,2
261,70730,0,1,1,1,1319,12,0,0,7316,2
262,164613,0,2,1,1,11095,13,0,0,7375,2
263,47557,0,2,1,1,10267,18,200,3,7345,2
264,35065,0,1,1,1,5400,5,1400,3,7311,2
265,105769,0,3,1,1,23097,16,0,0,7345,2
266,35900,0,1,1,1,0,0,0,0,7304,2
267,43088,0,1,1,1,4000,1,0,0,7345,2
268,58703,0,4,1,1,46473,34,950,4,7296,1
269,70354,0,5,1,1,120907,22,0,0,7290,3
270,145726,0,3,1,1,19019,15,0,0,7292,2
271,121639,0,5,1,1,67286,7,0,0,7288,2
272,70676,0,5,1,1,74993,15,0,0,7288,1
273,18263,0,1,1,1,2100,4,1000,2,7285,2
274,51250,0,1,1,1,0,0,0,0,7283,2
275,165144,0,1,1,1,17108,32,4823,23,7283,2
276,12895,0,1,1,1,0,0,0,0,7277,2
277,120073,0,3,1,1,12423,29,0,0,7276,2
278,2003,0,1,1,1,980,2,0,0,7274,0
279,22652,0,5,1,1,57642,14,0,0,7271,3
280,165144,0,1,1,1,4600,4,0,0,7269,2
281,44873,0,4,1,1,38740,18,850,2,7267,1
282,165144,1745,1,1,1,8487,9,0,0,7267,2
283,156230,0,1,1,1,5300,8,1300,5,7260,2
284,79211,0,4,1,1,36776,14,0,0,7260,2
285,98006,0,4,1,1,46349,20,2309,3,7332,2
286,33982,0,5,1,1,68320,17,0,0,7255,3
287,62998,0,2,1,1,11326,24,0,0,7253,2
288,137908,0,5,1,1,57713,19,0,0,7250,2
289,45586,0,4,1,1,37459,15,0,0,7246,1
290,165144,0,5,1,1,67121,16,1000,2,7243,2
291,145993,0,5,1,1,95082,17,500,1,7229,1
292,165144,0,5,1,1,84800,20,0,0,7279,2
293,12195,0,1,1,1,3875,17,0,0,7229,2
294,16622,0,1,1,1,0,0,0,0,7229,2
295,141813,0,4,1,1,39743,14,0,0,7254,2
296,58139,500,4,1,1,38408,16,150,1,7227,2
297,165144,0,3,1,1,20521,16,0,0,7220,2
298,149286,0,4,1,1,42141,30,2400,13,7222,2
299,35945,0,1,1,1,0,0,0,0,7220,2
300,28218,0,1,1,1,750,4,750,4,7232,2
301,7061,0,1,1,1,7100,12,0,0,7218,0
302,165144,0,4,1,1,49198,20,0,0,7215,2
303,165144,0,4,1,1,28200,27,0,0,7213,2
304,125465,0,3,1,1,14750,9,0,0,7206,2
305,94222,0,4,1,1,52081,24,0,0,7201,2
306,123370,0,1,1,1,7478,16,0,0,7197,2
307,165144,2998,1,1,1,8001,25,3226,15,7326,2
308,112969,0,2,1,1,7572,7,0,0,7192,2
309,46430,0,1,1,1,2100,4,500,1,7194,2
310,165144,0,4,1,1,30476,15,0,0,7187,2
311,20746,0,4,1,1,37534,17,0,0,7185,3
312,61455,0,4,1,1,28765,17,0,0,7183,2
313,165144,0,5,1,1,119162,20,1750,4,7183,1
314,165144,0,3,1,1,17819,12,1000,2,7173,2
315,119977,2556,1,1,1,9275,16,1400,4,7226,2
316,16928,0,1,1,1,1000,1,0,0,7173,2
317,65316,0,1,1,1,3917,10,0,0,7254,2
318,165144,0,1,1,1,11398,3,398,1,7162,2
319,52060,0,1,1,1,6500,3,0,0,7162,2
320,84700,0,3,1,1,13544,17,0,0,7162,2
321,165144,0,3,1,1,32404,20,1000,2,7159,2
322,20457,0,4,1,1,51399,16,0,0,7193,3
323,165144,0,1,1,1,21666,19,9166,16,7155,2
324,50325,0,3,1,1,11930,14,0,0,7155,2
325,165144,0,1,1,1,258,2,258,2,7141,2
326,73849,0,2,1,1,11793,21,0,0,7250,2
327,165144,0,5,1,1,114329,26,6078,8,7164,1
328,138999,0,5,1,1,63738,29,600,4,7153,2
329,65573,0,1,1,1,3875,23,0,0,7130,2
330,165144,0,5,1,1,66879,10,0,0,7130,2
331,47958,0,1,1,1,0,0,0,0,7130,2
332,133002,0,3,1,1,15672,21,150,1,7117,2
333,42363,0,1,1,1,0,0,0,0,7120,2
334,133370,0,4,1,1,44299,18,0,0,7101,2
335,165144,6727,4,1,1,57313,27,1000,2,7101,2
336,105166,1374,4,1,1,37663,22,0,0,7120,2
337,34956,0,1,1,1,0,0,0,0,7172,2
338,46963,0,1,1,1,1500,5,0,0,7117,2
339,55788,0,3,1,1,24831,12,0,0,7314,2
340,165144,0,4,1,1,63960,20,200,1,7110,2
341,13812,0,2,1,1,15149,39,0,0,7110,1
342,38718,0,1,1,1,0,0,0,0,7314,2
343,112501,0,1,1,2,19140,11,0,0,7101,2
344,54005,0,1,1,1,1500,5,0,0,7099,2
345,66863,0,4,1,1,36532,9,0,0,7099,1
346,93045,0,3,1,1,17636,15,0,0,7092,2
347,165144,0,5,1,1,60447,12,0,0,7092,2
348,151301,0,4,1,1,37772,14,0,0,7092,2
349,87938,0,1,1,1,11268,2,0,0,7085,2
350,15283,0,1,1,1,1250,3,0,0,7132,2
351,105423,0,3,1,1,20802,14,0,0,7078,2
352,165144,0,1,1,1,100,1,100,1,7078,2
353,13680,0,1,1,1,0,0,0,0,7073,2
354,41279,0,3,1,1,14462,20,1650,6,7064,2
355,25313,0,2,1,1,7491,13,0,0,7064,2
356,148691,0,1,1,1,3000,3,1000,2,7064,2
357,165144,0,4,1,1,40108,15,150,2,7059,2
358,51088,0,1,1,1,0,0,0,0,7057,2
359,95305,0,1,1,1,3189,13,0,0,7054,2
360,22080,0,1,1,1,12200,47,1950,9,7050,2
361,11660,0,1,1,1,140,1,0,0,7050,2
362,165144,0,4,1,1,38127,14,500,1,7047,2
363,16200,0,1,1,1,160,1,0,0,7043,2
364,38227,0,2,1,1,8612,13,0,0,7036,2
365,80214,0,1,1,1,500,1,500,1,7029,2
366,53985,0,1,1,1,1000,1,0,0,7029,2
367,14414,0,1,1,1,0,0,0,0,7024,2
368,44457,0,1,1,1,225,3,0,0,7026,2
369,161813,0,5,1,1,126941,20,0,0,7026,1
370,138020,0,1,1,1,6568,15,0,0,7024,2
371,107707,0,3,1,1,19407,25,2211,12,7024,2
372,95656,0,5,1,1,62666,27,0,0,7019,1
373,149678,0,1,1,1,0,0,0,0,7022,2
374,15113,0,2,1,1,10574,19,0,0,7017,2
375,891,0,1,1,1,29900,24,5300,15,7015,3
376,22380,0,1,1,1,300,2,200,1,7010,2
377,146263,0,3,1,1,20853,21,350,1,7001,2
378,24598,0,1,1,1,0,0,0,0,7040,2
379,76150,0,4,1,1,36907,17,0,0,6998,2
380,165144,0,5,1,1,230629,30,6393,13,6996,1
381,165144,0,1,3,1,15907,13,0,0,6994,2
382,86853,0,4,1,1,42293,21,500,1,6980,2
383,165144,0,4,1,1,66516,26,1600,6,6980,2
384,28193,0,5,1,4,103456,32,0,0,6980,3
385,67086,0,3,1,1,18157,16,0,0,6974,2
386,35969,0,2,1,1,11665,21,0,0,6977,2
387,53790,0,4,1,1,28717,19,0,0,8296,2
388,165144,0,3,1,1,17855,14,500,1,8296,2
389,91939,0,1,1,1,1244,8,0,0,8296,2
390,88449,0,2,1,1,11402,18,1450,5,8296,2
391,54842,0,3,1,1,20792,15,0,0,8296,2
392,11189,0,1,2,1,9044,20,0,0,8296,1
393,16999,0,1,1,1,140,1,0,0,8296,2
394,114713,0,1,1,1,7142,18,0,0,8296,2
395,1612,0,1,1,1,955,9,0,0,8296,0
396,97763,0,1,1,1,2000,9,0,0,8296,2
397,15129,0,1,1,1,0,0,0,0,8296,2
398,15669,0,1,1,1,1205,4,0,0,8296,2
399,26720,0,1,1,1,913,3,0,0,8296,2
400,165144,0,2,1,1,5471,13,0,0,8296,2
401,56635,0,1,1,1,1024,8,359,2,8296,2
402,127297,0,2,1,1,8510,12,0,0,8296,2
403,8927,0,1,1,1,0,0,0,0,8296,2
404,165144,1952,5,1,1,102279,32,4485,13,8296,1
405,145723,0,5,1,1,59858,16,0,0,8296,2
406,6458,0,1,1,1,0,0,0,0,8296,0
407,165144,0,1,1,1,6000,3,0,0,8296,2
408,5581,0,1,1,1,0,0,0,0,8296,0
409,10732,0,1,1,1,1296,6,0,0,8296,2
410,165144,0,5,1,1,25395,53,1750,14,8296,2
411,68963,0,4,1,1,37723,15,0,0,8296,1
412,109640,0,4,1,1,66983,38,5500,17,8296,1
413,165144,0,5,1,1,74340,16,200,2,8296,2
414,58452,0,1,1,1,0,0,0,0,8296,2
415,109087,0,2,1,1,10462,16,0,0,8296,2
416,68286,0,3,1,1,22831,13,0,0,8296,2
417,68464,0,1,1,1,240,3,0,0,8296,2
418,131960,2000,3,1,1,16081,8,0,0,8296,2
419,165144,1178,1,1,1,0,0,0,0,8296,2
420,165144,7210,1,1,1,23866,26,7741,15,8296,2
421,23529,0,1,1,1,500,1,0,0,8296,2
422,165144,0,4,1,1,3501,15,0,0,8296,2
423,21083,0,5,1,1,129330,16,1000,2,8296,3
424,117860,0,5,1,1,62758,15,0,0,8296,2
425,118844,0,4,1,1,28731,17,400,2,8289,2
426,60493,0,1,1,1,9000,1,0,0,8289,2
427,165144,0,5,1,1,68007,23,700,2,8289,2
428,87692,0,1,1,1,2310,6,500,1,8289,2
429,78028,0,4,1,1,36269,24,0,0,8289,2
430,165144,0,1,1,1,0,0,0,0,8289,2
431,17575,0,1,1,1,0,0,0,0,8289,2
432,50431,0,1,1,1,1000,1,0,0,8289,2
433,153597,0,5,1,1,56567,18,0,0,8289,2
434,74579,0,1,1,1,4600,11,600,8,8289,2
435,2494,0,1,1,1,0,0,0,0,8289,0
436,96031,0,4,1,1,46588,21,0,0,8289,2
437,165144,0,4,1,1,141230,28,1450,5,8289,1
438,50052,0,4,1,1,49383,13,0,0,8289,1
439,13381,0,1,1,1,1000,8,0,0,8289,2
440,25123,0,1,1,1,2030,6,0,0,8289,2
441,132555,0,3,1,1,24775,31,350,1,8289,2
442,14528,0,1,1,1,6000,7,3000,6,8289,2
443,24038,0,2,1,1,6290,14,0,0,8289,2
444,165144,0,3,1,1,39010,53,1750,8,8289,2
445,106773,0,1,1,1,12900,10,1400,8,8289,2
446,165144,0,3,1,1,22873,13,0,0,8289,2
447,14732,0,1,1,1,100,1,0,0,8289,2
448,165144,0,3,1,1,23608,16,500,1,8289,2
449,11431,0,1,1,1,1759,4,759,3,8289,2
450,165144,0,4,1,1,40997,14,0,0,8289,2
451,52953,0,1,1,1,500,1,0,0,8289,2
452,165144,0,3,1,1,24155,22,0,0,8289,2
453,165144,0,5,1,1,61714,16,0,0,8289,2
454,49053,0,1,1,1,6498,18,950,5,8289,2
455,22772,0,1,1,1,0,0,0,0,8289,2
456,34170,0,3,1,1,15476,20,150,1,8289,2
457,158483,0,2,1,1,9018,11,0,0,8289,2
458,43285,0,4,1,1,28613,14,0,0,8252,2
459,52980,0,3,1,1,17078,14,0,0,8237,2
460,74342,0,1,1,1,4389,12,0,0,8228,2
461,139849,0,3,1,1,19946,15,0,0,8228,2
462,26080,0,2,1,1,9872,13,0,0,8228,2
463,29469,0,1,1,1,2522,4,0,0,8228,2
464,165144,0,1,1,1,2991,15,0,0,8228,2
465,165144,0,5,1,1,136619,34,3000,6,8228,1
466,165144,2015,5,1,1,60883,26,2600,9,8228,2
467,165144,0,5,1,1,95531,17,0,0,8228,1
468,83590,0,1,1,1,3708,22,0,0,8228,2
469,82528,0,1,1,1,2100,5,600,4,8228,2
470,5600,0,1,1,1,125,1,0,0,8228,0
471,165144,2066,1,1,1,4100,20,2500,18,8228,2
472,43954,0,5,1,1,63463,13,250,1,8228,1
473,52005,0,3,1,1,11870,15,100,1,8228,2
474,45494,0,1,1,1,5021,16,600,2,8228,2
475,165144,0,3,1,1,40090,55,6381,23,8151,2
476,165144,0,1,1,1,3982,16,0,0,8145,2
477,153108,0,4,1,1,25802,14,500,1,8137,2
478,165144,0,4,1,1,33047,21,0,0,8146,2
479,80223,0,3,1,1,21248,26,2050,7,8121,2
480,38716,0,2,1,1,8253,21,0,0,8114,2
481,165144,0,3,1,1,23046,14,0,0,8107,2
482,10954,500,1,1,1,2500,1,0,0,8095,2
483,97099,0,1,1,1,6325,21,1700,5,8085,2
484,62396,2128,1,1,1,1250,3,0,0,8075,2
485,40645,0,3,1,1,18348,13,0,0,8067,2
486,82655,0,5,1,1,101101,19,700,2,8057,1
487,84035,0,1,1,1,4240,6,1600,4,8114,2
488,165144,2919,1,1,1,3800,19,3300,18,8023,2
489,86345,0,3,1,1,13415,16,350,2,8009,2
490,2701,0,1,1,1,5000,10,0,0,8002,0
491,46874,0,1,1,1,9689,38,500,1,7990,2
492,10879,0,5,1,1,78186,32,3400,12,7981,3
493,12742,0,1,1,1,0,0,0,0,7966,2
494,122904,0,4,1,1,37380,21,1300,4,7956,2
495,10994,0,1,1,1,1250,3,0,0,8007,2
496,2318,0,2,1,1,8747,14,0,0,7945,0
497,11070,0,1,1,1,0,0,0,0,7939,2
498,21921,0,1,1,1,0,0,0,0,7939,2
499,162521,0,5,1,1,57354,25,0,0,8105,2
500,165144,0,1,1,1,11137,34,4387,12,8105,2
501,86112,0,4,1,1,35528,22,0,0,8105,2
502,18328,0,1,1,1,0,0,0,0,6790,2
503,165144,0,5,1,1,97584,19,550,2,6679,1
504,11504,0,1,1,1,100,1,0,0,6675,2
505,143200,0,5,1,1,79837,28,50,1,6667,2
506,160703,0,4,1,1,32560,12,0,0,6666,2
507,910,0,1,1,1,5172,13,0,0,6662,0
508,94105,0,1,1,1,100,1,0,0,6676,2
509,18422,0,1,1,1,3297,13,0,0,6653,2
510,165144,1024,5,1,1,98959,29,850,4,6652,1
